x,y,type
171,179,Pico
235,29,Pico
97,235,Pico
208,192,Pico
106,64,Pico
139,61,Pico
189,219,Pico
275,128,Pico
84,140,Pico
33,118,Pico
154,16,Pico
271,17,Pico
182,225,Pico
148,235,Pico
132,163,Pico
55,171,Pico
191,217,Pico
215,69,Pico
13,13,Pico
11,12,Pico
187,109,Pico
127,25,Pico
299,172,Pico
223,118,Pico
0,148,Pico
67,227,Pico
106,106,Pico
187,151,Pico
133,198,Pico
184,53,Pico
248,80,Pico
281,66,Pico
141,128,Pico
