x,y,type
154,150,Macro
43,60,Pico
95,41,Pico
240,30,Micro
259,186,Pico
170,29,Pico
52,233,Pico
60,100,Pico
228,104,Pico
289,219,Pico
280,24,Pico
9,93,Pico
196,82,Pico
58,8,Pico
175,230,Micro
75,151,Pico
118,0,Pico
13,33,Pico
214,189,Pico
102,84,Pico
253,219,Micro
156,55,Pico
94,210,Micro
