x,y,type,name
159,162,0,Macro
56,13,2,Pico
114,18,2,Pico
234,26,1,Micro
215,185,2,Pico
175,17,2,Pico
86,205,1,Micro
65,31,2,Pico
253,129,2,Pico
248,197,2,Pico
276,28,2,Pico
194,106,2,Pico
91,43,2,Pico
137,232,2,Pico
280,225,2,Pico
124,71,2,Pico
33,45,2,Pico
118,128,2,Pico
271,93,2,Pico
206,226,2,Pico
188,74,2,Pico
168,47,2,Pico
166,223,2,Pico
238,80,2,Pico
15,18,2,Pico
240,228,2,Pico
