x,y,type,name
25,66,2,Pico
275,24,2,Pico
127,150,2,Pico
150,220,2,Pico
132,122,2,Pico
225,81,2,Pico
57,49,2,Pico
266,91,2,Pico
158,24,2,Pico
93,150,2,Pico
166,168,2,Pico
249,40,2,Pico
65,212,2,Pico
23,106,2,Pico
16,42,2,Pico
238,224,2,Pico
199,52,2,Pico
129,183,2,Pico
24,12,2,Pico
130,0,2,Pico
198,191,2,Pico
102,113,2,Pico
167,135,2,Pico
287,62,2,Pico
90,186,2,Pico
276,235,2,Pico
5,148,2,Pico
100,231,2,Pico
203,240,2,Pico
165,245,2,Pico
239,125,2,Pico
59,98,2,Pico
201,148,2,Pico
